employee_id,department,salary,performance_score,attrition_flag,joining_date,location,manager_id
EMP-VMD89OO0,H R,52148.58,3.28,0,2019-11-17,Remote,MGR-0HKBXKXX
EMP-M1SB19NC,FINANCE,76458.18,4.41,0,2018-12-24,Seattle,MGR-JRUBIZIB
EMP-P7J6V452,technology,81571.34,4.3,1,2018-06-12,Boston,MGR-3R1D22SC
EMP-9WLW468W,Sales Team,59778.31,4.43,0,2018-09-08,San Francisco,MGR-89BJXHTR
EMP-KBR7G4MJ,Sales,75542.87,3.14,1,2019-03-15,Austin,MGR-K7AX2EV7
EMP-6WB68Q0J,accounts,92702.66,2.07,0,2019-11-01,Boston,MGR-6VEJGVYJ
EMP-GVXXYN9T,FINANCE,62930.51,4.05,0,2019-11-07,Austin,MGR-QTG33JQ9
EMP-9G19TQGC,marketing,74181.61,3.16,0,2020-03-31,Austin,MGR-8FJO5VSS
EMP-O9I8P0LW,Sales,,3.67,0,2020-11-02,Denver,MGR-4KTT4RPG
EMP-8M90GNVY,Tech,140860.11,3.27,0,2019-01-03,San Francisco,MGR-N4IQAQ17
EMP-8U595CEK,engineering,139811.69,2.9,1,2019-07-07,Chicago,MGR-65435ZL6
EMP-Y23QIGTQ,ENGINEERING,163658.51,4.71,0,2021-05-15,Boston,MGR-EN3VSTQA
EMP-R8958F8E,FINANCE,58139.11,,0,2018-12-24,New York,MGR-3JQQE12Z
EMP-0K9JX42E,sales,51689.65,3.47,1,2022-04-11,New York,MGR-M0BPDOOV
EMP-6X7NV1S4,Operations,90358.34,4.26,0,2023-10-07,New York,MGR-Q1V1QM2C
EMP-3VVBQEVF,sales,83802.37,4.42,0,2022-03-19,Remote,MGR-NF6K6QMZ
EMP-ZWLSD4TR,Marketing,88230.9,2.25,0,2022-07-20,Austin,MGR-09C11KX2
EMP-ITQRNJOQ,Tech,98844.5,4.69,0,2018-10-31,Chicago,MGR-1QQV6NNO
EMP-F8TX134L,ops,65768.73,3.59,0,2020-04-09,Remote,MGR-TU9QOGMN
EMP-QF22HDZ0,marketing,83025.8,3.63,0,2020-01-26,Remote,MGR-WRD7LJC7
EMP-8FBI8NBB,technology,107104.58,2.33,0,2019-08-24,Denver,MGR-OJTSP6DD
EMP-NW4TSSIZ,Sales Team,,3.56,0,2022-02-19,Denver,MGR-MIO77ACR
EMP-V85886D6,operations,94092.57,4.28,0,2019-10-11,BoStOn,MGR-RNKNX13C
EMP-0396W32V,operations,50669.89,3.79,0,2022-10-22,Remote,MGR-5S1C0D4P
EMP-CZDQ3W6B,Human Resources,59320.25,,0,2018-11-20,New York,MGR-E6Q3Y35B
EMP-VLCX7MM1,Accounts,118799.2,3.29,0,2020-09-02,Seattle,MGR-70P5Q9EI
EMP-FAI4MWRU,Engg,745592.700039714,4.28,0,2019-02-10,Boston,MGR-1WDP1TCF
EMP-XF6HYD6I,sales team,64688.06,3.5,0,2019-02-01,Boston,MGR-BRQ2EY3J
EMP-JW5BFVFU,Engineering,75383.97,4.12,0,2019-01-28,Austin,MGR-BFGFBTOP
EMP-IXUB4IBH,mktg,91131.5,3.65,0,2020-02-24,New York,MGR-39X8QFUC
EMP-W3JR4OWX,accounts,83544.19,4.25,0,2018-05-02,SEATTLE,MGR-NF6K6QMZ
EMP-XBI6JJTB,finance,102303.67,,0,2019-04-08,San Francisco,MGR-UGOQ5R4F
EMP-DCDT7P91,Engg,107946.98,4.95,0,2019-07-12,Remote,MGR-3S6W60W5
EMP-R3JSS3T1,Compliance,117383.61,4.09,0,2021-01-30,SaN FrAnCiScO,MGR-LYQ42Y2P
EMP-BIU0952L,engineering,82605.16,3.14,1,2018-04-05,San Francisco,MGR-JV66P8CM
EMP-3MYFNCE9,FINANCE,129552.36,2.06,0,2018-11-20,San Francisco,MGR-BG6WGRPI
EMP-W1OQ9RQ5,Tech,220707.24,3.46,0,2019-11-24,New York,MGR-E5G1LTXO
EMP-R2TD8Y6C,finance,151102.63,4.47,0,2018-04-13,New york,MGR-YY1HURWF
EMP-89UKAI77,accounts,80169.93,3.3,0,2021-10-18,Boston,MGR-0APRSKWC
EMP-WU3FL153,MARKETING,78284.02,4.05,0,2018-11-26,Denver,MGR-2JSFM6K6
EMP-D29V3ANH,sales team,71983.34,3.2,0,2018-12-21,Boston,MGR-KW33EDFY
EMP-P1EIW7O9,Marketing,74949.81,4.64,0,2018-06-30,NEW YORK,MGR-W0GYAA3M
EMP-E1E3DYYW,ENGINEERING,73416.7,3.09,0,2018-09-05,Remote,MGR-B9U8CGRW
EMP-5L9PVSBL,Engg,81793.62,3.5,0,2021-01-23,Remote,MGR-4GXXWKQY
EMP-BVJ5XV6Z,engineering,78804.11,3.68,0,2022-05-27,Seattle,MGR-OUTM79GW
EMP-Y83MMGQG,PRODUCT,144883.45,3.2,1,2023-02-07,deNVEr,
EMP-UCKM4IZE,Engg,124539.98,3.3,0,2018-06-29,San Francisco,MGR-RPOB44Y6
EMP-IQ84AGK1,LEGAL,90027.35,4.07,0,2018-01-23,New York,MGR-BRQ2EY3J
EMP-XN32NBZW,Human Resources,67937.6,3.83,0,2019-05-29,Austin,MGR-8J3DR0YG
EMP-23L8N6KY,mktg,94684.54,3.29,0,2021-10-02,Boston,MGR-998SRZ3D
EMP-DNWTLBN4,H R,55700.79,,1,2018-12-14,Denver,MGR-CSZZYKOF
EMP-GVXRXW3G,engineering,130771.82,4.52,0,2018-05-16,San Francisco,MGR-GYINB4BB
EMP-GUFJH9GX,sales,54069.87,3.19,1,2019-02-25,NEW YORK,MGR-JFT7NU4R
EMP-EJUOIIQS,finance,77781.47,3.53,0,2019-04-19,San Francisco,MGR-QNYP4IF7
EMP-L0RKGX1C,Sales,74886.43,2.63,0,2022-06-23,San Francisco,
EMP-RXGZ58PO,operations,71010.71,4.45,0,2022-09-04,San Francisco,MGR-D1GU2D2C
EMP-J35YHKJH,mktg,87139.19,3.7,0,2019-03-26,Remote,MGR-2O0DYQNL
EMP-AK2IVD8D,operations,49119.04,4.17,0,2018-01-02,Denver,MGR-PET4DVFD
EMP-HVVL74C5,Human Resources,80730.81,3.86,0,2020-01-06,Remote,MGR-6VEJGVYJ
EMP-WC9F2TBW,ENGINEERING,147788.29,4.85,0,2022-03-09,Boston,MGR-CS0XZCOX
EMP-AR4I8IHT,HR,45607.12,4.33,0,2019-01-21,Austin,MGR-0HKBXKXX
EMP-WGQIO1MG,Human Resources,41441.83,4.13,0,2018-05-29,BOSTON,MGR-JR8ST5WP
EMP-RWD02PAY,Engg,113616.67,2.79,1,2020-05-19,New York,MGR-45FDMLRS
EMP-2KRYNLAF,ENGINEERING,169671.17,4.57,0,2020-09-01,Boston,MGR-4X7YGHAR
EMP-ZRR60SI3,Mktg,63541.12,2.13,1,2018-05-07,Boston,MGR-ST218AZ9
EMP-7PI8WEJI,accounts,88302.0,4.49,0,2022-09-26,New York,MGR-XOPYXXUZ
EMP-2MI1AA6P,sales team,,2.54,0,2020-10-10,Boston,MGR-I4YH0K82
EMP-5A5W9XXL,Ops,34780.29,4.51,0,2019-10-16,New York,MGR-KDZJUZHI
EMP-L1OPRXXQ,Marketing,353729.76415847614,4.27,0,2018-03-31,new york,MGR-RRE3HF95
EMP-I6JXZQU8,Accounts,118266.56,2.77,1,2020-09-09,San Francisco,MGR-G46XNRFO
EMP-7FBV2I6O,human resources,63983.74,3.9,0,2023-09-12,Boston,MGR-52HUL4D9
EMP-NYPQ9ORF,sales,80321.86,2.42,1,2021-05-22,Austin,MGR-X8X3BIET
EMP-VI3RQASD,Operations,39567.12,3.23,0,2021-06-30,Austin,MGR-713C46ZP
EMP-YKC2MNG8,engineering,104586.62,,0,2018-01-29,Remote,MGR-Z2GD22OC
EMP-IV1ZG886,hr,43568.09,3.4,0,2023-12-06,Austin,MGR-H6Y82LUJ
EMP-EMT0AZ48,Sales,99196.77,4.57,0,2020-09-08,New York,MGR-1M3813N8
EMP-KB8X2C05,Product Management,129271.82,3.38,0,2022-11-30,Austin,MGR-94NH3GB9
EMP-825IBDXK,compliance,107990.67,4.28,0,2018-01-30,san francisco,MGR-ND1RF5T1
EMP-7H01STXM,SALES,,3.09,0,2019-06-07,New York,MGR-M699U801
EMP-2959Z9DB,finance,83384.82,3.85,0,2023-05-20,New York,MGR-2N5YUKCB
EMP-E2QHPTNZ,Human Resources,43315.74,4.64,0,2020-02-17,San Francisco,MGR-Q7UA7C8I
EMP-ZE9GHR3W,operations,40604.34,3.7,0,2018-01-29,Remote,MGR-P2O09MAI
EMP-BXGA9BTD,Tech,90962.77,3.8,0,2019-12-04,Austin,MGR-V0JR9OKA
EMP-YAL71B9R,human resources,86937.87,3.53,0,2020-03-24,SeAtTlE,MGR-6WAKQFJZ
EMP-LVJWUD6K,SALES,82810.59,3.68,0,2020-03-06,Denver,MGR-RDABZWYH
EMP-7AMMPQ0H,ENGINEERING,106004.62,3.8,1,2018-09-17,Austin,MGR-25NHBVOK
EMP-7W218GAV,accounts,73066.71,4.04,0,2019-03-27,Chicago,MGR-B3BA6HVE
EMP-SYWM2D17,sales,125939.58,2.1,1,2020-10-10,New York,MGR-IU85MSX9
EMP-I7N7PA3U,Mktg,104120.72,,0,2019-01-09,Austin,MGR-70P5Q9EI
EMP-KV58YSB2,sales team,67293.25,2.95,0,2018-12-26,Chicago,MGR-FW31A567
EMP-8KTO9QES,hr,50487.85,3.34,1,2023-08-19,Boston,MGR-V25FN6L6
EMP-IYUB31P3,PM,110276.51,2.88,1,2018-02-25,New York,MGR-N7QA2TBY
EMP-FVZS040Z,Tech,189945.35,,0,2018-01-02,Denver,MGR-TFXCKZIS
EMP-SGNGYF4T,Engg,183150.67,,1,2020-01-15,Remote,MGR-W89WWD09
EMP-MCRCUN91,finance,67742.64,3.76,0,2022-08-12,Chicago,MGR-UZYJR76M
EMP-TEYMOMLF,SALES,115534.65,,0,2019-09-25,Remote,MGR-2EBURVJD
EMP-12JN6DVJ,Engg,78680.83,,0,2018-01-21,New York,MGR-86UNXLGM
EMP-EHLOOMFS,Finance,80283.26,3.21,0,2019-04-04,Austin,MGR-1RG3BBXF
EMP-4AXBMWJS,Engineering,85721.32,4.4,0,2020-05-05,Boston,MGR-E7VJZAOR
EMP-ML2NYDGA,Operations,65659.98,2.97,0,2020-10-20,Chicago,
EMP-UF09UYG3,Tech,101992.33,3.85,0,2018-12-02,San Francisco,MGR-4GXXWKQY
EMP-74PPWWLD,sales,70554.69,3.57,1,2019-06-25,San Francisco,MGR-B9U8CGRW
EMP-3WSVM1LM,PM,104140.1,3.34,1,2018-01-17,New York,MGR-6H87N65S
EMP-8IM4GRU7,MARKETING,283928.50869744044,4.77,0,2018-12-16,Austin,MGR-J9F5U8ZO
EMP-CEZWJTX3,sales,92684.53,,0,2019-07-10,San Francisco,MGR-Q2CNI1RK
EMP-U542ZP03,Sales,71453.3,3.42,0,2023-05-20,New York,MGR-SQHGAZQ8
EMP-X4ME6XKJ,engineering,115525.84,3.36,1,2018-04-28,San Francisco,MGR-DIV4SYDU
EMP-Y41EBIBT,Engg,144318.17,3.85,0,2019-04-08,Boston,MGR-I75VVCUD
EMP-QC7F8406,compliance,103576.66,3.3,1,2020-01-19,Boston,MGR-8DTH2Y1R
EMP-2IBLZ0AB,sales,71540.81,3.93,0,2023-02-13,New York,MGR-G16AEKVQ
EMP-RUTUH3PQ,Accounts,108106.15,3.39,0,2018-05-11,Chicago,MGR-VA707SLR
EMP-CEJMN9LO,sales,101259.68,3.91,0,2019-12-18,REMOTE,MGR-IENSWELU
EMP-VOE9TPI9,ENGINEERING,113934.76,4.09,0,2018-06-05,NEW YORK,MGR-CRU7EHHD
EMP-1V49TDYF,Operations,75189.69,2.9,1,2021-06-16,Seattle,MGR-8F3Q1RC7
EMP-J8OYRHKK,Tech,101683.69,4.44,0,2018-03-26,San Francisco,MGR-39X8QFUC
EMP-RQ6DG3VM,Tech,127350.34,4.35,0,2018-04-08,New York,MGR-134CKSX5
EMP-CRO2O54W,marketing,,4.9,0,2018-06-05,DeNvEr,MGR-TJUSQSDT
EMP-LNTA81J8,Engg,,2.71,0,2020-07-18,Austin,MGR-PDD8MGHV
EMP-RJWTG3FI,PRODUCT,71275.27,3.67,0,2018-07-19,New York,MGR-CD0TXFGV
EMP-DKMU6U4P,MARKETING,63539.46,4.64,0,2019-03-21,Remote,MGR-PDEAF7Q7
EMP-U2Y4IX0H,product,128283.08,3.76,0,2022-08-23,San Francisco,MGR-JR19PZ6B
EMP-65UM4YRV,Product,92079.11,3.71,0,2022-06-08,San Francisco,MGR-KT184HIT
EMP-YGUUYFXS,SALES,,4.63,0,2022-10-20,San Francisco,MGR-R5RTH5CG
EMP-JI934QPV,Engineering,109193.65,3.87,0,2020-01-05,Seattle,MGR-8GO1HG32
EMP-7C69BFIQ,OPERATIONS,81086.26,2.49,1,2021-04-22,San francisco,MGR-RGGCMHJ9
EMP-X0BJCKJC,technology,126460.38,3.12,0,2018-02-23,Chicago,MGR-HT8LHJS4
EMP-99OWN0D8,human resources,66103.37,2.26,1,2018-08-11,Remote,
EMP-Q1M0CU2T,Sales Team,68681.21,4.35,0,2019-04-10,Boston,MGR-B76B1VM3
EMP-W2R1XAZV,Mktg,63078.68,4.35,0,2018-09-18,Seattle,MGR-68VJMZFK
EMP-5QH1PTXG,FINANCE,96229.29,4.61,0,2020-09-10,Chicago,MGR-HH0JO59M
EMP-TMGRAEJP,Accounts,77974.66,3.09,0,2021-12-13,New York,MGR-XMENUQC4
EMP-D7B52XOV,Sales,38114.57,3.43,0,2021-06-11,Remote,MGR-4AGRX95F
EMP-HTN7SU62,H R,71107.74,3.74,0,2021-07-15,New York,MGR-9QG5G5Y5
EMP-WX0S4T0K,engineering,166920.01,4.12,0,2019-01-07,San Francisco,MGR-BZESMUGQ
EMP-14SVRY1T,Engg,120356.69,3.85,0,2018-08-31,Denver,MGR-JR19PZ6B
EMP-AQBE510M,hr,68311.79,4.69,0,2019-07-13,New York,
EMP-IX79PBRT,Product Management,104886.89,2.75,0,2019-09-10,Remote,MGR-4IS7EFFP
EMP-W8PDWXEZ,Mktg,,4.11,0,2018-10-13,Remote,MGR-X8OZ8XPP
EMP-3F9RD4MW,finance,84407.9,4.41,0,2020-08-19,Boston,MGR-WU0NGU5Y
EMP-GFYAZPQV,Tech,102748.66,4.65,0,2018-05-09,Seattle,MGR-TOHIZP5I
EMP-RRSVSN5S,human resources,64981.0,,0,2020-07-24,Seattle,MGR-LJH1FRX9
EMP-8TLTY7W2,mktg,,3.87,0,2020-09-04,Chicago,MGR-ZR398L1Q
EMP-YKS9URXI,Sales,71561.89,2.03,0,2019-10-24,Remote,MGR-NALMJSH5
EMP-G75TO3E1,FINANCE,82492.11,2.87,0,2020-01-14,Denver,MGR-S4PC4AKB
EMP-P8F8C8CL,sales,81555.05,2.83,1,2019-07-10,Remote,MGR-6DT44E2P
EMP-0NEZH1U9,Sales,71113.21,3.71,0,2020-11-14,San Francisco,MGR-49O8VSWS
EMP-E9C6D9BG,Engg,118407.85,3.97,0,2021-09-22,NEW YORK,MGR-KTC8O6M5
EMP-4MLJZFUD,Engg,169408.91,3.7,1,2021-01-27,SaN fRancisCo,MGR-EHQGMTMS
EMP-3ARBBR7D,technology,108013.53,3.7,0,2022-05-23,Remote,MGR-YKIL8LS2
EMP-WSR06VWL,Sales Team,219427.19271024497,,1,2019-11-19,San Francisco,MGR-MBMPTPO5
EMP-6806L4IL,H.R.,55908.64,2.15,0,2019-05-18,New York,MGR-IELNDSCO
EMP-QVIC0FOJ,mktg,57541.74,3.11,1,2019-03-01,Remote,MGR-I7CMNGRM
EMP-6OQKIW3H,compliance,156371.86,2.53,1,2020-08-05,New York,MGR-045IMZM4
EMP-C35AZNP7,Accounts,100415.4,3.93,0,2019-12-15,New York,MGR-JGU4P3IJ
EMP-97KIIOPK,accounts,106003.29,4.44,0,2019-04-28,New York,MGR-HIPLN20G
EMP-BT55REBX,Sales Team,104806.73,4.24,0,2021-04-23,New York,MGR-7R2CF2R8
EMP-VQYMHP9N,Compliance,63352.21,4.44,0,2019-08-25,Remote,MGR-U7ZKLONG
EMP-PEORFZ88,Engineering,99070.54,3.69,0,2022-02-05,New York,MGR-0HKBXKXX
EMP-Q3J9X2HK,Tech,110727.79,3.9,0,2019-04-22,Denver,MGR-CSZZYKOF
EMP-X31HYK0N,Mktg,77263.51,3.35,0,2021-01-15,Remote,MGR-F0GHKJJM
EMP-FL7GAG6C,ENGINEERING,93065.89,4.51,0,2019-09-22,New York,MGR-E90H3ZZN
EMP-QH0Q8HWP,sales team,70957.94,2.72,1,2018-04-08,Denver,MGR-1JYO082L
EMP-ABBAJAQ0,Sales Team,65696.54,3.84,0,2022-02-22,New York,MGR-TXHJFRP0
EMP-NHNYL1FT,mktg,63584.1,3.51,0,2018-12-13,Denver,MGR-5K6AO0P5
EMP-01YHYA0E,MARKETING,61747.58,2.9,0,2019-12-17,Austin,MGR-998SRZ3D
EMP-Q4M5J4GW,MARKETING,90743.59,4.09,0,2023-02-20,San Francisco,MGR-WYTQ34RK
EMP-1L2LIT38,SALES,72317.33,4.7,0,2019-04-22,ReMoTe,MGR-V98G2Y0P
EMP-P8V1UC8E,Finance,89965.93,4.11,0,2020-08-28,Austin,MGR-0NW6A340
EMP-YQEF864B,OPERATIONS,62555.15,4.08,0,2019-03-27,New York,MGR-0AWXT1J7
EMP-K83GSGCH,ENGINEERING,83654.82,4.05,0,2020-11-24,Boston,MGR-G2KOD13B
EMP-RS5UNG5A,SALES,84110.79,3.66,0,2021-09-17,San Francisco,MGR-PLLUIS2I
EMP-OQCPL72U,marketing,49414.23,3.26,1,2021-08-21,Chicago,MGR-0PVW6KH7
EMP-H334XWYC,Engineering,96846.64,2.68,0,2018-09-17,Chicago,MGR-AH1S6R9E
EMP-TIARONTD,technology,143003.15,4.31,0,2019-02-08,Remote,MGR-1U69QTTS
EMP-50WQB10D,sales,55552.43,4.51,0,2018-04-27,New York,MGR-4SLPRS0H
EMP-FQGUX3BE,sales team,100237.34,4.73,0,2020-10-09,Chicago,MGR-8J3DR0YG
EMP-O9T1HW23,sales,107287.03,4.31,0,2021-10-24,Denver,MGR-M64VC32Q
EMP-HTY2LTUB,mktg,86017.59,2.46,1,2020-04-20,Austin,MGR-23EGA0UX
EMP-HJ8GL7PJ,HR,103752.21,3.44,0,2021-02-25,New York,MGR-MW9NBM7E
EMP-N20AV93C,Engineering,124922.9,4.53,0,2019-02-01,New York,MGR-XP6DPY9K
EMP-N37MOVGY,Finance,117628.37,3.39,0,2022-08-10,San Francisco,MGR-ZDEWRKH9
EMP-OPPOYDVF,Engg,127885.04,4.05,0,2021-05-25,New York,MGR-S60QEYAS
EMP-DT454PW1,Product,86223.41,4.32,0,2019-05-14,Chicago,MGR-WRD7LJC7
EMP-653OOV3R,Ops,34278.35,3.14,1,2021-09-21,Remote,MGR-CDAPE7BE
EMP-3TKQVXCR,sales team,136133.71,4.73,1,2018-11-05,Seattle,MGR-2PCK4PXH
EMP-75UMLPY9,Finance,93215.7,4.41,0,2019-10-30,San Francisco,
EMP-QUSOJRT1,technology,110453.38,3.91,0,2021-07-18,ReMoTe,MGR-OQR8ST2J
EMP-0AP7DVUF,ENGINEERING,161625.95,4.46,0,2018-07-12,Remote,MGR-8QGB86AI
EMP-RZ3FU0LU,ops,62199.83,2.83,0,2020-04-24,Remote,MGR-TGVBKSSZ
EMP-6TCJAY1F,technology,101917.18,4.4,0,2019-07-17,San Francisco,MGR-9E2IJ02H
EMP-6AP0H9GT,OPERATIONS,630973.9717056751,3.67,0,2022-05-22,New York,MGR-PT5INUKJ
EMP-ORK82PPB,Product Management,180254.62,4.17,0,2022-03-16,Chicago,MGR-FKNLJXTT
EMP-TRNXXVKB,Sales Team,79870.1,2.14,1,2018-05-30,Chicago,MGR-IOGGG0JM
EMP-RQN3BZNH,Engg,105185.89,3.85,0,2020-09-23,New York,MGR-QCLDAFYM
EMP-TVLSY9JL,Finance,69515.69,2.64,0,2018-03-28,Remote,MGR-YVMTT71E
EMP-ZW2FB7IY,Accounts,73390.44,,0,2021-05-15,Remote,MGR-TL2URI81
EMP-VHXLWI1C,SALES,59625.55,2.97,1,2018-08-19,San Francisco,MGR-3IPLM2ZX
EMP-8YONG7FG,MARKETING,90635.91,4.57,0,2020-02-04,Chicago,MGR-KAM1KLOD
EMP-47XKJQ6X,FINANCE,90071.98,4.14,0,2019-11-24,Boston,MGR-5K1ED7U2
EMP-6SO282D8,Ops,57943.36,4.11,0,2021-01-07,Boston,MGR-HNTA6XWF
EMP-W3E1AUO3,legal,56397.15,2.53,0,2019-04-03,San Francisco,MGR-V3L7ADCX
EMP-J0WYDCVY,marketing,58027.64,3.17,1,2019-02-24,New York,MGR-RI0A9XTZ
EMP-S19WGXOK,operations,45924.28,2.71,1,2018-09-21,Austin,MGR-IC9W3PUY
EMP-4F7A42S5,Tech,163681.14,4.32,0,2021-10-29,Austin,MGR-J1CBWNX0
EMP-3JGJ9BCR,technology,121743.39,4.04,0,2023-01-04,San Francisco,MGR-KW33EDFY
EMP-717HW0BU,Accounts,74660.59,3.46,0,2019-01-04,Austin,MGR-36PG7J5W
EMP-547KPUWF,Sales,,3.7,0,2019-01-31,Seattle,MGR-N6RY37I9
EMP-UCN54H7D,Sales Team,83162.33,3.72,0,2021-11-08,Remote,MGR-779C85AF
EMP-ORL0YB9C,HR,53256.13,4.25,0,2021-03-06,New York,MGR-RZKYVMYJ
EMP-MEQ5TQ7G,Engg,143591.4,2.06,0,2018-09-08,Boston,MGR-RI0A9XTZ
EMP-2VZ98395,Operations,50855.13,2.69,1,2021-10-21,Boston,MGR-9UVN0TM4
EMP-DA9W4K7U,ENGINEERING,113883.18,3.78,1,2018-09-07,ReMoTe,MGR-T780LSN6
EMP-92F0J3OK,Engg,109586.7,2.33,1,2019-07-01,Chicago,MGR-9BJH1KLC
EMP-6QWVGFRI,MARKETING,60926.39,3.07,1,2021-01-20,Chicago,MGR-BQ12DCU1
EMP-SJ57ZPQF,hr,67293.01,3.8,0,2022-08-10,San Francisco,MGR-CSZZYKOF
EMP-H62ZO1GB,ops,,3.83,0,2018-11-28,San Francisco,MGR-7UKH3JQR
EMP-NKWXZWL9,technology,225968.9,2.33,0,2018-01-21,New York,MGR-RNNG5ZKO
EMP-BAV6E9AQ,Accounts,101388.1,2.4,0,2019-04-25,New York,MGR-LTTUG6L6
EMP-9UI14NIJ,marketing,105332.5,3.56,0,2018-07-27,Boston,MGR-6SPIE0Z8
EMP-46U15UTS,Engineering,138583.64,3.53,0,2018-07-04,New York,
EMP-T38CX5DN,sales,68423.04,3.44,0,2018-01-01,New York,MGR-FLIB7TUD
EMP-RZUF21ZZ,sales,51423.75,3.59,0,2021-01-13,BOSTON,MGR-ROSMVW2P
EMP-BWM15GM8,human resources,61993.85,3.41,0,2020-05-05,Remote,MGR-S2D3PFWU
EMP-W4RDR8FT,mktg,63193.43,3.31,0,2019-07-12,Boston,MGR-18DZ3NZN
EMP-LFLN7FT5,human resources,49144.28,4.17,0,2019-03-07,New York,MGR-OJTSP6DD
EMP-U6OKGK8M,mktg,143678.28,2.61,1,2020-05-11,Seattle,MGR-2THXC0V8
EMP-DD8HYXG8,Sales,57746.27,2.5,0,2020-10-17,Denver,MGR-IRD9I9K4
EMP-F8RT7X9Z,Finance,123421.7,2.7,1,2022-07-09,San Francisco,MGR-MB2KT4D6
EMP-0BH2FCFH,SALES,90039.41,3.2,0,2018-11-13,New York,MGR-ROSMVW2P
EMP-5F4JM8R7,sales team,106959.39,3.54,1,2019-08-16,Boston,MGR-24OJVA3R
EMP-1JLZNARA,Marketing,61501.36,3.66,0,2020-07-23,Remote,MGR-M5JB7B6K
EMP-95WVFUTI,Tech,69854.46,4.38,1,2022-12-06,Boston,MGR-5JYTMN0Z
EMP-LH9USR5B,ops,51996.19,4.17,0,2020-03-15,San Francisco,MGR-U7ZKLONG
EMP-UE0OW5M3,HR,54377.55,3.43,0,2019-03-08,Remote,MGR-TYCSKQWD
EMP-L0AH1KG9,Accounts,106511.38,1.34,1,2019-06-15,Austin,MGR-TYK0MIWL
EMP-W2JGZ3FP,technology,95990.2,4.69,0,2021-01-31,Remote,MGR-P7U5Q4LZ
EMP-2SMD7KL9,hr,,3.41,0,2019-03-02,Remote,MGR-DNKQNMJ8
EMP-2E6WPRLP,Marketing,47619.5,3.54,0,2018-11-19,Denver,MGR-FRJ2XB80
EMP-8NFQRWUE,Engineering,154877.83,4.72,0,2021-04-18,Boston,
EMP-IUIWD6X6,hr,73066.36,4.38,0,2018-08-02,Austin,MGR-A9M84YO0
